Team,País,#,POS,Player name (MD),Nombre ANTERIOR,Nombre NUEVO,Cambió?,First name(s),Last name(s),Name on shirt,externalRef,Observación,Nombre corregido sugerido
ENG,England,11,FW,RASHFORD Marcus,Marcus Rashford,Rashford Marcus,SI,Marcus,RASHFORD,RASHFORD,wc2026-ENG-11,Cambio de nombre,
ENG,England,12,DF,LIVRAMENTO Tino,Valentino Livramento,Livramento Tino,SI,Valentino Francisco,LIVRAMENTO,LIVRAMENTO,wc2026-ENG-12,Cambio de nombre,
ENG,England,13,GK,HENDERSON Dean,D. Henderson,Henderson Dean,SI,Dean Bradley,HENDERSON,D. HENDERSON,wc2026-ENG-13,Cambio de nombre,
ENG,England,14,MF,HENDERSON Jordan,J. Henderson,Henderson Jordan,SI,Jordan Brian,HENDERSON,J. HENDERSON,wc2026-ENG-14,Cambio de nombre,
ENG,England,15,DF,BURN Dan,Daniel Burn,Burn Dan,SI,Daniel Johnson,BURN,BURN,wc2026-ENG-15,Cambio de nombre,
ENG,England,16,MF,MAINOO Kobbie,Kobbie Mainoo,Mainoo Kobbie,SI,Kobbie Boateng,MAINOO,MAINOO,wc2026-ENG-16,Cambio de nombre,
ENG,England,17,MF,ROGERS Morgan,Morgan Rogers,Rogers Morgan,SI,Morgan Elliot,ROGERS,ROGERS,wc2026-ENG-17,Cambio de nombre,
ENG,England,18,FW,GORDON Anthony,Anthony Gordon,Gordon Anthony,SI,Anthony Michael,GORDON,GORDON,wc2026-ENG-18,Cambio de nombre,
ENG,England,19,FW,WATKINS Ollie,Oliver Watkins,Watkins Ollie,SI,Oliver George Arthur,WATKINS,WATKINS,wc2026-ENG-19,Cambio de nombre,
ENG,England,20,FW,MADUEKE Noni,Chukwunonso Madueke,Madueke Noni,SI,Chukwunonso Azuka Tristan,MADUEKE,MADUEKE,wc2026-ENG-20,Cambio de nombre,
ENG,England,21,MF,EZE Eberechi,Eberechi Eze,Eze Eberechi,SI,Eberechi Oluchi,EZE,EZE,wc2026-ENG-21,Cambio de nombre,
ENG,England,22,FW,TONEY Ivan,Ivan Toney,Toney Ivan,SI,Ivan Benjamin Elijah,TONEY,TONEY,wc2026-ENG-22,Cambio de nombre,
ENG,England,23,GK,TRAFFORD James,James Trafford,Trafford James,SI,James Harrington,TRAFFORD,TRAFFORD,wc2026-ENG-23,Cambio de nombre,
ENG,England,24,DF,JAMES Reece,Reece James,James Reece,SI,Reece Lewis,JAMES,JAMES,wc2026-ENG-24,Cambio de nombre,
ENG,England,25,DF,SPENCE Djed,Diop Spence,Spence Djed,SI,Diop Tehuti Djed-Hotep,SPENCE,SPENCE,wc2026-ENG-25,Cambio de nombre,
ENG,England,26,DF,QUANSAH Jarell,Jarell Quansah,Quansah Jarell,SI,Jarell Amorin,QUANSAH,QUANSAH,wc2026-ENG-26,Cambio de nombre,
FRA,France,1,GK,SAMBA Brice,Brice Samba,Samba Brice,SI,Brice Lauriche,SAMBA,SAMBA,wc2026-FRA-1,Cambio de nombre,
FRA,France,2,DF,GUSTO Malo,Malo Gusto,Gusto Malo,SI,Malo Arthur,GUSTO,GUSTO,wc2026-FRA-2,Cambio de nombre,
FRA,France,3,DF,DIGNE Lucas,Lucas Digne,Digne Lucas,SI,Lucas,DIGNE,DIGNE,wc2026-FRA-3,Cambio de nombre,
FRA,France,4,DF,UPAMECANO Dayot,Dayotchanculle Upamecano,Upamecano Dayot,SI,Dayotchanculle Oswald,UPAMECANO,UPAMECANO,wc2026-FRA-4,Cambio de nombre,
FRA,France,5,DF,KOUNDE Jules,Jules Kounde,Kounde Jules,SI,Jules Olivier,KOUNDE,KOUNDE,wc2026-FRA-5,Cambio de nombre,
FRA,France,6,MF,KONE Manu,Kouadio Kone,Kone Manu,SI,Kouadio Emmanuel Boris,KONE,KONE,wc2026-FRA-6,Cambio de nombre,
FRA,France,7,FW,DEMBELE Ousmane,Masour Dembele,Dembele Ousmane,SI,Masour Ousmane,DEMBELE,DEMBELE,wc2026-FRA-7,Cambio de nombre,
FRA,France,8,MF,TCHOUAMENI Aurelien,Aurélien Tchouameni,Tchouameni Aurelien,SI,Aurélien Djani,TCHOUAMENI,TCHOUAMENI,wc2026-FRA-8,Cambio de nombre,
FRA,France,9,FW,THURAM Marcus,Marcus Thuram,Thuram Marcus,SI,Marcus Lilian,THURAM-ULIEN,THURAM,wc2026-FRA-9,Cambio de nombre,
FRA,France,10,FW,MBAPPE Kylian,Kylian Mbappe,Mbappe Kylian,SI,Kylian,MBAPPE LOTTIN,MBAPPE,wc2026-FRA-10,Cambio de nombre,
FRA,France,11,FW,OLISE Michael,Michael Olise,Olise Michael,SI,Michael Akpovie,OLISE,OLISE,wc2026-FRA-11,Cambio de nombre,
FRA,France,12,FW,BARCOLA Bradley,Bradley Barcola,Barcola Bradley,SI,Bradley Jean-Manuel Essolisa A,BARCOLA,BARCOLA,wc2026-FRA-12,Cambio de nombre,
FRA,France,13,MF,KANTE Ngolo,N'golo Kante,Kante Ngolo,SI,N'golo,KANTE,KANTE,wc2026-FRA-13,Cambio de nombre,
FRA,France,14,MF,RABIOT Adrien,Adrien Rabiot,Rabiot Adrien,SI,Adrien Thibault Marie,RABIOT,RABIOT,wc2026-FRA-14,Cambio de nombre,
FRA,France,15,DF,KONATE Ibrahima,Ibrahima Konate,Konate Ibrahima,SI,Ibrahima,KONATÉ,KONATE,wc2026-FRA-15,Cambio de nombre,
FRA,France,16,GK,MAIGNAN Mike,Mike Maignan,Maignan Mike,SI,Mike Peterson,MAIGNAN,MAIGNAN,wc2026-FRA-16,Cambio de nombre,
FRA,France,17,DF,SALIBA William,William Saliba,Saliba William,SI,William Alain André Gabriel,SALIBA,SALIBA,wc2026-FRA-17,Cambio de nombre,
FRA,France,18,MF,ZAIRE-EMERY Warren,Zaire Emery,Zaire-emery Warren,SI,Warren Marie Jean-Pierre,ZAÏRE-EMERY,ZAIRE EMERY,wc2026-FRA-18,Cambio de nombre,
FRA,France,19,DF,HERNANDEZ Theo,T. Hernandez,Hernandez Theo,SI,Théo Bernard François,HERNANDEZ,T. HERNANDEZ,wc2026-FRA-19,Cambio de nombre,
FRA,France,20,FW,DOUE Desire,Désiré Doue,Doue Desire,SI,Désiré Nonka-Maho,DOUE,DOUE,wc2026-FRA-20,Cambio de nombre,
FRA,France,21,DF,HERNANDEZ Lucas,L. Hernandez,Hernandez Lucas,SI,Lucas Francois Bernard,HERNANDEZ,L. HERNANDEZ,wc2026-FRA-21,Cambio de nombre,
FRA,France,22,FW,MATETA Jean-Philippe,Jean-philippe Mateta,Mateta Jean-philippe,SI,Jean-Philippe,MATETA,MATETA,wc2026-FRA-22,Cambio de nombre,
FRA,France,23,GK,RISSER Robin,Robin Risser,Risser Robin,SI,Robin François Philippe,RISSER,RISSER,wc2026-FRA-23,Cambio de nombre,
FRA,France,24,MF,CHERKI Rayan,Mathis Cherki,Cherki Rayan,SI,Mathis Rayan,CHERKI,CHERKI,wc2026-FRA-24,Cambio de nombre,
FRA,France,25,MF,AKLIOUCHE Maghnes,Maghnes Akliouche,Akliouche Maghnes,SI,Maghnes,AKLIOUCHE,AKLIOUCHE,wc2026-FRA-25,Cambio de nombre,
FRA,France,26,DF,LACROIX Maxence,Maxence Lacroix,Lacroix Maxence,SI,Maxence Guy,LACROIX,LACROIX,wc2026-FRA-26,Cambio de nombre,
GER,Germany,1,GK,NEUER Manuel,Manuel Neuer,Neuer Manuel,SI,Manuel Peter,NEUER,NEUER,wc2026-GER-1,Cambio de nombre,
GER,Germany,2,DF,RUEDIGER Antonio,Antonio Rüdiger,Ruediger Antonio,SI,Antonio,RÜDIGER,RÜDIGER,wc2026-GER-2,Cambio de nombre,
GER,Germany,3,DF,ANTON Waldemar,Waldemar Anton,Anton Waldemar,SI,Waldemar,ANTON,ANTON,wc2026-GER-3,Cambio de nombre,
GER,Germany,4,DF,TAH Jonathan,Jonathan Tah,Tah Jonathan,SI,Jonathan Glao,TAH,TAH,wc2026-GER-4,Cambio de nombre,
GER,Germany,5,MF,PAVLOVIC Aleksandar,Aleksandar Pavlović,Pavlovic Aleksandar,SI,Aleksandar,PAVLOVIĆ,PAVLOVIĆ,wc2026-GER-5,Cambio de nombre,
GER,Germany,6,DF,KIMMICH Joshua,Joshua Kimmich,Kimmich Joshua,SI,Joshua Walter,KIMMICH,KIMMICH,wc2026-GER-6,Cambio de nombre,
GER,Germany,7,FW,HAVERTZ Kai,Kai Havertz,Havertz Kai,SI,Kai Lukas,HAVERTZ,HAVERTZ,wc2026-GER-7,Cambio de nombre,
GER,Germany,8,MF,GORETZKA Leon,Leon Goretzka,Goretzka Leon,SI,Leon Christoph,GORETZKA,GORETZKA,wc2026-GER-8,Cambio de nombre,
GER,Germany,9,MF,LEWELING Jamie,Jamie Leweling,Leweling Jamie,SI,Jamie Jaleel Jeremy,LEWELING,LEWELING,wc2026-GER-9,Cambio de nombre,
GER,Germany,10,MF,MUSIALA Jamal,Jamal Musiala,Musiala Jamal,SI,Jamal,MUSIALA,MUSIALA,wc2026-GER-10,Cambio de nombre,
GER,Germany,11,FW,WOLTEMADE Nick,Nick Woltemade,Woltemade Nick,SI,Nick,WOLTEMADE,WOLTEMADE,wc2026-GER-11,Cambio de nombre,
GER,Germany,12,GK,BAUMANN Oliver,Oliver Baumann,Baumann Oliver,SI,Oliver,BAUMANN,BAUMANN,wc2026-GER-12,Cambio de nombre,
GER,Germany,13,MF,GROSS Pascal,Pascal Groß,Gross Pascal,SI,Pascal Alexander,GROß,GROß,wc2026-GER-13,Cambio de nombre,
GER,Germany,14,FW,BEIER Maximilian,Maximilian Beier,Beier Maximilian,SI,Maximilian,BEIER,BEIER,wc2026-GER-14,Cambio de nombre,
GER,Germany,15,DF,SCHLOTTERBECK Nico,Nico Schlotterbeck,Schlotterbeck Nico,SI,Nico Cédric,SCHLOTTERBECK,SCHLOTTERBECK,wc2026-GER-15,Cambio de nombre,
GER,Germany,16,MF,STILLER Angelo,Angelo Stiller,Stiller Angelo,SI,Angelo Nicolas,STILLER,STILLER,wc2026-GER-16,Cambio de nombre,
